"filename", "language", "SCSS", "JSON", "vue", "JSON with Comments", "JavaScript", "XML", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-cloud-s2s\uniCloud\cloudfunctions\common\uni-cloud-s2s\package.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\package.json", "JSON", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 17, 93
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\package.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\uni-ad\config.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\uni-id\config.json", "JSON", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-config-center\uniCloud\cloudfunctions\common\uni-config-center\uni-open-bridge\config.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-data-checkbox\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-data-checkbox\components\uni-data-checkbox\uni-data-checkbox.vue", "vue", 0, 0, 769, 0, 0, 0, 0, 0, 0, 0, 53, 822
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-data-checkbox\package.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-data-checkbox\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 7, 18
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-easyinput\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 40, 98
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-easyinput\components\uni-easyinput\common.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 12, 2, 57
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-easyinput\components\uni-easyinput\uni-easyinput.vue", "vue", 0, 0, 622, 0, 0, 0, 0, 0, 0, 0, 36, 658
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-easyinput\package.json", "JSON", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-easyinput\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\components\uni-file-picker\choose-and-upload-file.js", "JavaScript", 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 16, 225
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\components\uni-file-picker\uni-file-picker.vue", "vue", 0, 0, 636, 0, 0, 0, 0, 0, 0, 0, 28, 664
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\components\uni-file-picker\upload-file.vue", "vue", 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 27, 326
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\components\uni-file-picker\upload-image.vue", "vue", 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 17, 293
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\components\uni-file-picker\utils.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 0, 0, 19, 6, 110
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\package.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 1, 84
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-file-picker\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 11
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-forms\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 1, 93
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-forms\components\uni-forms-item\uni-forms-item.vue", "vue", 0, 0, 582, 0, 0, 0, 0, 0, 0, 0, 46, 628
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-forms\components\uni-forms\uni-forms.vue", "vue", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 23, 398
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-forms\components\uni-forms\utils.js", "JavaScript", 0, 0, 0, 0, 162, 0, 0, 0, 0, 111, 21, 294
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-forms\components\uni-forms\validate.js", "JavaScript", 0, 0, 0, 0, 421, 0, 0, 0, 0, 1, 65, 487
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-forms\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-forms\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 11, 23
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-icons\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-icons\components\uni-icons\icons.js", "JavaScript", 0, 0, 0, 0, 1169, 0, 0, 0, 0, 0, 1, 1170
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-icons\components\uni-icons\uni-icons.vue", "vue", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 6, 97
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-icons\components\uni-icons\uniicons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 498, 0, 166, 664
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-icons\package.json", "JSON", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-icons\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-common\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-common\package.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-common\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-common\uniCloud\cloudfunctions\common\uni-id-common\index.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-common\uniCloud\cloudfunctions\common\uni-id-common\package.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 1, 158
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\common\check-id-card.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\common\login-page.mixin.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 0, 0, 6, 5, 96
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\common\login-page.scss", "SCSS", 86, 0, 0, 0, 0, 0, 0, 0, 0, 20, 21, 127
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\common\password.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 7, 8, 86
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\common\store.js", "JavaScript", 0, 0, 0, 0, 138, 0, 0, 0, 0, 21, 16, 175
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\components\cloud-image\cloud-image.vue", "vue", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\components\uni-id-pages-agreements\uni-id-pages-agreements.vue", "vue", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 10, 168
"c:\Users\64170\Documents\HBuilderProjects\vue2\uni_modules\uni-id-pages\components\uni-id-pages-avatar\uni-id-pages-avatar.vue", "vue", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 7, 201
